local_time,utc_time,source_ip,destination_ip,protocol,port
2025-08-04 08:35:53,2025-08-04 03:35:53,10.7.32.22,35.186.224.24,UDP,443
2025-08-04 08:35:53,2025-08-04 03:35:53,10.7.32.22,17.248.239.65,TCP,443
2025-08-04 08:35:53,2025-08-04 03:35:53,35.186.224.24,10.7.32.22,UDP,53664
2025-08-04 08:35:53,2025-08-04 03:35:53,35.186.224.24,10.7.32.22,UDP,53664
2025-08-04 08:35:53,2025-08-04 03:35:53,35.186.224.24,10.7.32.22,UDP,53664
2025-08-04 08:35:53,2025-08-04 03:35:53,162.159.136.232,10.7.32.22,TCP,62475
2025-08-04 08:35:53,2025-08-04 03:35:53,162.159.136.232,10.7.32.22,TCP,62475
2025-08-04 08:35:53,2025-08-04 03:35:53,162.159.136.232,10.7.32.22,TCP,62475
2025-08-04 08:35:53,2025-08-04 03:35:53,10.7.32.22,162.159.136.232,TCP,443
2025-08-04 08:35:53,2025-08-04 03:35:53,10.7.32.22,35.186.224.24,UDP,443
2025-08-04 08:35:53,2025-08-04 03:35:53,10.7.32.22,35.186.224.24,UDP,443
2025-08-04 08:35:53,2025-08-04 03:35:53,10.7.32.22,8.8.8.8,UDP,53
2025-08-04 08:35:53,2025-08-04 03:35:53,10.7.32.22,8.8.8.8,UDP,53
2025-08-04 08:35:53,2025-08-04 03:35:53,10.7.34.34,224.0.0.251,UDP,5353
2025-08-04 08:35:53,2025-08-04 03:35:53,8.8.8.8,10.7.32.22,UDP,47396
